ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,icao_code,iata_code,gps_code,local_code,coordinates
00A,heliport,Total RF Heliport,11,NA,US,US-PA,Bensalem,,,K00A,00A,"40.070985, -74.933689"
00AA,small_airport,Aero B Ranch Airport,3435,NA,US,US-KS,Leoti,,,00AA,00AA,"38.704022, -101.473911"
00AK,small_airport,Lowell Field,450,NA,US,US-AK,Anchor Point,,,00AK,00AK,"59.947733, -151.692524"
00AL,small_airport,Epps Airpark,820,NA,US,US-AL,Harvest,,,00AL,00AL,"34.86479949951172, -86.77030181884766"
00AN,small_airport,Katmai Lodge Airport,80,NA,US,US-AK,King Salmon,,,00AN,00AN,"59.093287, -156.456699"
00AS,small_airport,Fulton Airport,1100,NA,US,US-OK,Alex,,,00AS,00AS,"34.9428028, -97.8180194"
00AZ,small_airport,Cordes Airport,3810,NA,US,US-AZ,Cordes,,,00AZ,00AZ,"34.305599212646484, -112.16500091552734"
00CA,small_airport,Goldstone (GTS) Airport,3038,NA,US,US-CA,Barstow,,,00CA,00CA,"35.35474, -116.885329"
00CL,small_airport,Williams Ag Airport,87,NA,US,US-CA,Biggs,,,00CL,00CL,"39.427188, -121.763427"
00CN,heliport,Kitchen Creek Helibase Heliport,3350,NA,US,US-CA,Pine Valley,,,00CN,00CN,"32.7273736, -116.4597417"
00FA,small_airport,Grass Patch Airport,53,NA,US,US-FL,Bushnell,,,00FA,00FA,"28.64550018310547, -82.21900177001953"
00FL,small_airport,River Oak Airport,35,NA,US,US-FL,Okeechobee,,,00FL,00FL,"27.230899810791016, -80.96920013427734"
00GA,small_airport,Lt World Airport,700,NA,US,US-GA,Lithonia,,,00GA,00GA,"33.76750183105469, -84.06829833984375"
00GE,heliport,Caffrey Heliport,957,NA,US,US-GA,Hiram,,,00GE,00GE,"33.887982, -84.736983"
00HI,heliport,Kaupulehu Heliport,43,OC,US,US-HI,Kailua-Kona,,,00HI,00HI,"19.832881, -155.978347"
00ID,small_airport,Delta Shores Airport,2064,NA,US,US-ID,Clark Fork,,,00ID,00ID,"48.145301818847656, -116.21399688720703"
00IG,small_airport,Goltl Airport,3359,NA,US,US-KS,McDonald,,,00IG,00IG,"39.724028, -101.395994"
00IL,small_airport,Hammer Airport,840,NA,US,US-IL,Polo,,,00IL,00IL,"41.978401, -89.560402"
00IN,heliport,St Mary Medical Center Heliport,634,NA,US,US-IN,Hobart,,,00IN,00IN,"41.51139831542969, -87.2605972290039"
00IS,small_airport,Hayenga's Cant Find Farms Airport,820,NA,US,US-IL,Kings,,,00IS,00IS,"40.02560043334961, -89.1229019165039"
00KS,small_airport,Hayden Farm Airport,1100,NA,US,US-KS,Gardner,,,00KS,00KS,"38.72779846191406, -94.93049621582031"
00KY,small_airport,Robbins Roost Airport,1265,NA,US,US-KY,Stanford,,,00KY,00KY,"37.409400939941406, -84.61969757080078"
00LA,heliport,Shell Chemical East Site Heliport,15,NA,US,US-LA,Gonzales,,,00LA,00LA,"30.191944, -90.980833"
00LL,heliport,Ac & R Components Heliport,600,NA,US,US-IL,Chatham,,,00LL,00LL,"39.66529846191406, -89.70559692382812"
00LS,small_airport,Lejeune Airport,12,NA,US,US-LA,Crowley,,,00LS,00LS,"30.136299, -92.429398"
00MD,small_airport,Slater Field,45,NA,US,US-MD,Federalsburg,,,00MD,00MD,"38.75709915161133, -75.75379943847656"
00MI,heliport,Dow Chemical Heliport,588,NA,US,US-MI,Ludington,,,00MI,00MI,"43.94940185546875, -86.41670227050781"
00MN,small_airport,Battle Lake Municipal Airport,1365,NA,US,US-MN,Battle Lake,,,00MN,00MN,"46.29999923706055, -95.70030212402344"
00MO,small_airport,Cooper Flying Service Airport,970,NA,US,US-MO,Alba,,,00MO,00MO,"37.202800750732, -94.412399291992"
00MT,heliport,Livingston Healthcare Heliport,4465,NA,US,US-MT,Livingston,,,00MT,00MT,"45.675, -110.52515"
00N,small_airport,Bucks Airport,105,NA,US,US-NJ,Bridgeton,,,K00N,00N,"39.472998, -75.184346"
00NC,small_airport,North Raleigh Airport,348,NA,US,US-NC,Louisburg,,,00NC,00NC,"36.085201263427734, -78.37139892578125"
00NJ,heliport,Colgate-Piscataway Heliport,78,NA,US,US-NJ,New Brunswick,,,00NJ,00NJ,"40.52090072631836, -74.47460174560547"
00NK,seaplane_base,Cliche Cove Seaplane Base,96,NA,US,US-NY,Beekmantown,,,00NK,00NK,"44.8118612, -73.3698057"
00NR,heliport,Rodanthe Dare County Heliport,8,NA,US,US-NC,Rodanthe,,,00NR,00NR,"35.594729, -75.470002"
00NY,small_airport,Weiss Airfield,1000,NA,US,US-NY,West Bloomfield,,,00NY,00NY,"42.89576, -77.495263"
00OI,heliport,Miami Valley Hospital Heliport,905,NA,US,US-OH,Dayton,,,00OI,00OI,"39.745091, -84.187278"
00OK,small_airport,Gull Bay Landing Airport,960,NA,US,US-OK,Sandsprings,,,00OK,00OK,"36.198598, -96.217693"
00OR,heliport,Steel Systems Heliport,195,NA,US,US-OR,Salem,,,00OR,00OR,"44.932899475097656, -123.12999725341797"
00PA,heliport,R J D Heliport,402,NA,US,US-PA,Coatesville,,,00PA,00PA,"39.94889831542969, -75.74690246582031"
00PN,small_airport,Ferrell Field,1301,NA,US,US-PA,Mercer,,,00PN,00PN,"41.2995, -80.211111"
00S,small_airport,McKenzie Bridge State Airport,1620,NA,US,US-OR,Blue River,,,K00S,00S,"44.181466, -122.086"
00SC,small_airport,Flying O Airport,150,NA,US,US-SC,Sumter,,,00SC,00SC,"34.0093994140625, -80.26719665527344"
00SD,small_airport,Homan Field,1590,NA,US,US-SD,Gary,,,00SD,00SD,"44.809158, -96.498897"
00TE,heliport,Tcjc-Northeast Campus Heliport,600,NA,US,US-TX,Fort Worth,,,00TE,00TE,"32.847599029541016, -97.18949890136719"
00TS,small_airport,Alpine Range Airport,670,NA,US,US-TX,Everman,,,00TS,00TS,"32.607601165771484, -97.24199676513672"
00TT,small_airport,Nowhere Airport,1752,NA,US,US-TX,Goodlett,,,00TT,00TT,"34.516606, -99.93694"
00VA,small_airport,Vaughan Airport,551,NA,US,US-VA,Alton,,,00VA,00VA,"36.574964, -78.998437"
00VI,small_airport,Groundhog Mountain Airport,2680,NA,US,US-VA,Hillsville,,,00VI,00VI,"36.663299560546875, -80.49949645996094"
00W,small_airport,Lower Granite State Airport,719,NA,US,US-WA,Colfax,,,K00W,00W,"46.672884, -117.441933"
00WA,small_airport,Howell Airport,150,NA,US,US-WA,Longbranch,,,00WA,00WA,"47.17839813232422, -122.77200317382812"
00WI,small_airport,Northern Lite Airport,860,NA,US,US-WI,Waupaca,,,00WI,00WI,"44.304298400878906, -89.05010223388672"
00WN,small_airport,Hawks Run Airport,2900,NA,US,US-WA,Asotin,,,00WN,00WN,"46.25, -117.2490005493164"
00WV,small_airport,Lazy J. Aerodrome,2060,NA,US,US-WV,Beverly,,,00WV,00WV,"38.82889938354492, -79.86609649658203"
00WY,heliport,Mountain View Regional Hospital Heliport,5210,NA,US,US-WY,Casper,,,00WY,00WY,"42.840361, -106.224443"
00XA,small_airport,Weeski Ranch Airport,271,NA,US,US-TX,,,,00XA,00XA,"30.224, -96.01417"
01A,small_airport,Purkeypile Airport,2041,NA,US,US-AK,Purkeypile,,,K01A,01A,"62.940833, -152.269722"
01AK,heliport,Providence Seward Medical Center Heliport,120,NA,US,US-AK,Seward,,,01AK,01AK,"60.105873975399994, -149.446249008"
01AL,small_airport,Ware Island Airport,344,NA,US,US-AL,Clanton,,,01AL,01AL,"32.94599914550781, -86.51390075683594"
01AN,small_airport,McHone Heights Airport,610,NA,US,US-AK,Wasilla,,,01AN,01AN,"61.649095, -149.339025"
01AR,heliport,DeQueen Medical Center Heliport,440,NA,US,US-AR,DeQueen,,,01AR,01AR,"34.047456, -94.354023"
01AZ,heliport,Yat Heliport,3300,NA,US,US-AZ,Camp Verde,,,01AZ,01AZ,"34.607406, -111.8609"
01CA,heliport,SCE Lugo Substation Heliport,3733,NA,US,US-CA,Hesperia,,,01CA,01CA,"34.368241, -117.370059"
01CL,small_airport,Swansboro Country Airport,2594,NA,US,US-CA,Placerville,,,01CL,01CL,"38.7999, -120.734001"
01CO,heliport,St Vincent General Hospital Heliport,10175,NA,US,US-CO,Leadville,,,01CO,01CO,"39.24530029296875, -106.24600219726562"
01CT,heliport,Berlin Fairgrounds Heliport,60,NA,US,US-CT,Berlin,,,01CT,01CT,"41.62730026245117, -72.72750091552734"
01FA,small_airport,Rybolt Ranch Airport,55,NA,US,US-FL,Orlando,,,01FA,01FA,"28.589399337768555, -81.14420318603516"
01FD,heliport,Advent Health Altamonte Springs Heliport,86,NA,US,US-FL,Altamonte Springs,,,01FD,01FD,"28.666639, -81.3697"
01FL,small_airport,Cedar Knoll Flying Ranch Airport,19,NA,US,US-FL,Geneva,,,01FL,01FL,"28.78190040588379, -81.1592025756836"
01GA,heliport,Medical Center Heliport,319,NA,US,US-GA,Columbus,,,01GA,01GA,"32.47930145263672, -84.9791030883789"
01GE,small_airport,The Farm Airport,375,NA,US,US-GA,Wrightsville,,,01GE,01GE,"32.675106, -82.771055"
01ID,small_airport,Lava Hot Springs Airport,5268,NA,US,US-ID,Lava Hot Springs,,,01ID,01ID,"42.6082, -112.031998"
01II,small_airport,Myers Field,950,NA,US,US-IN,Lizton,,,01II,01II,"39.8849983215332, -86.50669860839844"
01IL,heliport,Hoopeston Community Memorial Hospital Heliport,583,NA,US,US-IL,Hoopeston,,,01IL,01IL,"40.45859909057617, -87.65950012207031"
01IN,heliport,Community Hospital Heliport,890,NA,US,US-IN,Anderson,,,01IN,01IN,"40.13090133666992, -85.69580078125"
01IS,small_airport,William E. Koenig Airport,670,NA,US,US-IL,Dow,,,01IS,01IS,"39.01620101928711, -90.31819915771484"
01J,small_airport,Hilliard Airpark,59,NA,US,US-FL,Hilliard,,,K01J,01J,"30.685568, -81.906346"
01K,small_airport,Caldwell Municipal Airport,1157,NA,US,US-KS,Caldwell,,,K01K,01K,"37.036132, -97.58533"
01KS,small_airport,Flying N Ranch Airport,1485,NA,US,US-KS,Lost Springs,,,01KS,01KS,"38.54059982299805, -97.00330352783203"
01KY,heliport,Lourdes Hospital Heliport,419,NA,US,US-KY,Paducah,,,01KY,01KY,"37.051700592041016, -88.64689636230469"
01LA,small_airport,Barham Airport,90,NA,US,US-LA,Oak Ridge,,,01LA,01LA,"32.638999938964844, -91.77369689941406"
01LL,small_airport,Schumaier Restricted Landing Area,555,NA,US,US-IL,Pinckneyville,,,01LL,01LL,"38.12580108642578, -89.46389770507812"
01LS,small_airport,Country Breeze Airport,125,NA,US,US-LA,Slaughter,,,01LS,01LS,"30.722478, -91.077372"
01MA,heliport,Compaq Andover Heliport,140,NA,US,US-MA,Andover,,,01MA,01MA,"42.625099182128906, -71.18009948730469"
01MD,seaplane_base,Annapolis Seaplane Base,,NA,US,US-MD,Annapolis,,,01MD,01MD,"38.999199, -76.456001"
01ME,seaplane_base,Saint Peter's Seaplane Base,608,NA,US,US-ME,Portage Lake,,,01ME,01ME,"46.778900146484375, -68.50029754638672"
01MI,heliport,Flow Through Terminal Heliport,736,NA,US,US-MI,Flint,,,01MI,01MI,"43.04949951171875, -83.67970275878906"
01MN,seaplane_base,Barnes Seaplane Base,1358,NA,US,US-MN,Cook,,,01MN,01MN,"47.899600982666016, -92.55740356445312"
01MO,heliport,Highway Patrol Troop C Headquarters Heliport,615,NA,US,US-MO,Town and Country,,,01MO,01MO,"38.641700744628906, -90.48429870605469"
01MT,small_airport,Crystal Lakes Resort Airport,3141,NA,US,US-MT,Fortine,,,01MT,01MT,"48.789100646972656, -114.87999725341797"
01MU,heliport,NWMC - Houghton Heliport,2873,NA,US,US-AZ,Tucson,,,01MU,01MU,"32.196747, -110.775142"
01NC,small_airport,Topsail Airpark,65,NA,US,US-NC,Holly Ridge,,,01NC,01NC,"34.47529983520508, -77.5813980102539"
01NH,small_airport,Moore Airfield,835,NA,US,US-NH,Canaan,,,01NH,01NH,"43.6445, -72.086998"
01NJ,heliport,Albert Guido Memorial Heliport,10,NA,US,US-NJ,Newark,,,01NJ,01NJ,"40.739956, -74.136128"
01NM,small_airport,Champion Ranch Airport,3630,NA,US,US-NM,Lake Arthur,,,01NM,01NM,"33.008611, -104.540278"
01NR,heliport,McGee 01 Heliport,40,NA,US,US-NC,Wilmington,,,01NR,01NR,"34.196264, -77.919917"
01NV,small_airport,Lantana Ranch Airport,4600,NA,US,US-NV,Yerington,,,01NV,01NV,"38.76390075683594, -119.0270004272461"
01NY,heliport,Vassar Hospital Heliport,100,NA,US,US-NY,Poughkeepsie,,,01NY,01NY,"41.692415, -73.93683"
01OH,heliport,Atrium Medical Center Heliport,775,NA,US,US-OH,Middletown,,,01OH,01OH,"39.497455, -84.313851"
01OI,heliport,Avita Health System Galion Hospital Heliport,1140,NA,US,US-OH,Galion,,,01OI,01OI,"40.730267, -82.802022"
01OL,small_airport,Spring Creek Ranch East Airport,1060,NA,US,US-OK,Tishomingo,,,01OL,01OL,"34.391667, -96.690833"
01PN,small_airport,Bierly(Personal Use) Airport,960,NA,US,US-PA,Bellefonte,,,01PN,01PN,"40.930599212646484, -77.73889923095703"
01PS,small_airport,Nort's Resort Airport,1040,NA,US,US-PA,Meshoppen,,,01PS,01PS,"41.59590148925781, -76.02960205078125"
01SC,small_airport,York Airport,779,NA,US,US-SC,York,,,01SC,01SC,"35.032100677490234, -81.25279998779297"
01TA,heliport,Thirty Thirty Matlock Office Center Heliport,630,NA,US,US-TX,Arlington,,,01TA,01TA,"32.69419860839844, -97.11579895019531"
01TE,small_airport,Smith Field,505,NA,US,US-TX,Forney,,,01TE,01TE,"32.737598, -96.428001"
01TN,small_airport,Colonial Air Park,370,NA,US,US-TN,Collierville,,,01TN,01TN,"34.99589920043945, -89.73059844970703"
01TT,heliport,Clute Fire & EMS Station #1 Heliport,7,NA,US,US-TX,Clute,,,01TT,01TT,"29.012067, -95.402119"
01U,small_airport,Duckwater Airport,5124,NA,US,US-NV,Duckwater,,,K01U,01U,"38.849785, -115.634987"
01UT,small_airport,La Sal Junction Airport,6000,NA,US,US-UT,La Sal,,,01UT,01UT,"38.30830001831055, -109.39600372314453"
01VA,small_airport,Pickles Airport,500,NA,US,US-VA,Berryville,,,01VA,01VA,"39.125, -77.9250030518"
01WA,heliport,Willapa Harbor Heliport,154,NA,US,US-WA,South Bend,,,01WA,01WA,"46.66320037841797, -123.81199645996094"
01WI,small_airport,Prehn Cranberry Company Airport,930,NA,US,US-WI,Tomah,,,01WI,01WI,"44.0099983215332, -90.38919830322266"
01WN,heliport,Whidbey General Hospital Heliport,103,NA,US,US-WA,Coupeville,,,01WN,01WN,"48.213401794433594, -122.68499755859375"
01WT,heliport,Odyssey Heliport,20,NA,US,US-WA,Renton,,,01WT,01WT,"47.518178, -122.210908"
01WY,small_airport,Keyhole Airport,4250,NA,US,US-WY,Pine Haven,,,01WY,01WY,"44.348312, -104.8106"
01XA,heliport,Ascension Seton Hays Heliport,715,NA,US,US-TX,Kyle,,,01XA,01XA,"30.007222, -97.853333"
01XS,heliport,Meadowood Ranch Heliport,500,NA,US,US-TX,Athens,,,01XS,01XS,"32.020198822021484, -95.74549865722656"
02AA,small_airport,Barefoot Airport,160,NA,US,US-AK,Big Lake,,,02AA,02AA,"61.506147, -149.912825"
02AK,small_airport,Rustic Wilderness Airport,190,NA,US,US-AK,Willow,,,02AK,02AK,"61.876907, -150.097626"
02AL,small_airport,Bass Field,61,NA,US,US-AL,Foley,,,02AL,02AL,"30.37150001525879, -87.76439666748047"
02AN,small_airport,Emerald Ridge Airport,222,NA,US,US-AK,Homer,,,02AN,02AN,"59.704223, -151.295869"
02CA,heliport,Swepi Beta Platform Ellen Heliport,122,NA,US,US-CA,Huntington Beach,,,02CA,02CA,"33.58250045776367, -118.12899780273438"
02CD,small_airport,Shannon Field,165,NA,US,US-MS,Clarksdale,,,02CD,02CD,"34.129600524902344, -90.52400207519531"
02CL,small_airport,Conover Air Lodge Airport,5160,NA,US,US-CA,Frazier Park,,,02CL,02CL,"34.761101, -119.058998"
02CO,small_airport,Mc Cullough Airport,7615,NA,US,US-CO,Monte Vista,,,02CO,02CO,"37.64329910279999, -106.04699707"
02CT,heliport,Strangers Point Heliport,540,NA,US,US-CT,Ellington,,,02CT,02CT,"41.91960144042969, -72.44450378417969"
02FA,small_airport,Osborn Airfield,121,NA,US,US-FL,Groveland,,,02FA,02FA,"28.526699, -81.874802"
02FD,small_airport,Triple R Ranch Airport,209,NA,US,US-FL,Baker,,,02FD,02FD,"30.950976, -86.635555"
02GA,small_airport,Doug Bolton Field,884,NA,US,US-GA,Commerce,,,02GA,02GA,"34.202598571777344, -83.42900085449219"
02GE,small_airport,Etowah Fields Airport,710,NA,US,US-GA,Euharlee,,,02GE,02GE,"34.17530059814453, -84.92440032958984"
02HI,heliport,K3 Helipad Heliport,9,OC,US,US-HI,Honolulu,,,02HI,02HI,"21.35839, -157.94789"
02IA,heliport,Boone County Hospital Heliport,1160,NA,US,US-IA,Boone,,,02IA,02IA,"42.05609893798828, -93.87799835205078"
02ID,small_airport,Morgan Ranch Airport,5634,NA,US,US-ID,Cascade,,,02ID,02ID,"44.55550003051758, -115.30500030517578"
02II,small_airport,King Ultralightport,925,NA,US,US-IN,Westfield,,,02II,02II,"40.06230163574219, -86.21050262451172"
02IN,small_airport,Diamond P. Field,904,NA,US,US-IN,Muncie,,,02IN,02IN,"40.208900451660156, -85.54080200195312"
02IS,heliport,Condell Medical Center Heliport,762,NA,US,US-IL,Libertyville,,,02IS,02IS,"42.274600982666016, -87.9572982788086"
02KS,small_airport,JMJ Landing Airport,1170,NA,US,US-KS,Saint Marys,,,02KS,02KS,"39.221416, -96.057072"
02KT,heliport,St Claire Healthcare Heliport,781,NA,US,US-KY,Morehead,,,02KT,02KT,"38.181441, -83.443319"
02KY,heliport,Boone National Guard Heliport,760,NA,US,US-KY,Frankfort,,,02KY,02KY,"38.190282, -84.906442"
02LA,heliport,Louisiana State Police Troop G Heliport,168,NA,US,US-LA,Bossier City,,,02LA,02LA,"32.531491, -93.659939"
02LS,heliport,Windy Hill Heliport,25,NA,US,US-LA,Broussard,,,02LS,02LS,"30.148300170898438, -91.91899871826172"
02MA,heliport,Cuttyhunk Heliport,9,NA,US,US-MA,Cuttyhunk,,,02MA,02MA,"41.419601, -70.927002"
02MD,small_airport,Garner Field,141,NA,US,US-MD,Brandywine,,,02MD,02MD,"38.672544, -76.709739"
02ME,small_airport,Nadeau's Airfield,700,NA,US,US-ME,Acton,,,02ME,02ME,"43.537467, -70.930685"
02MI,small_airport,Fairplains Airpark,850,NA,US,US-MI,Greenville,,,02MI,02MI,"43.157100677490234, -85.14849853515625"
02MO,small_airport,Troy Airpark,650,NA,US,US-MO,Troy,,,02MO,02MO,"39.04999923706055, -91.03350067138672"
02MS,small_airport,Watts Field,153,NA,US,US-MS,Rochdale,,,02MS,02MS,"34.095701, -90.846131"
02NE,small_airport,Benes Service Airport,1550,NA,US,US-NE,Valparaiso,,,02NE,02NE,"41.074501037597656, -96.90450286865234"
02NH,seaplane_base,Iroquois Landing Seaplane Base,1180,NA,US,US-NH,Dummer,,,02NH,02NH,"44.657100677490234, -71.21910095214844"
02NJ,heliport,Penske Heliport,78,NA,US,US-NJ,Piscataway,,,02NJ,02NJ,"40.55730056762695, -74.46710205078125"
02NM,small_airport,FFR Animas Landing Strip,4240,NA,US,US-NM,Animas,,,02NM,02NM,"32.09071, -108.870735"
02NR,heliport,McGee 02 Heliport,25,NA,US,US-NC,Greenville,,,02NR,02NR,"35.592197, -77.377372"
02NV,small_airport,Paiute Meadows Airport,4443,NA,US,US-NV,Winnemucca,,,02NV,02NV,"41.299551, -118.926709"
02NY,heliport,Hansen Heliport,435,NA,US,US-NY,Durhamville,,,02NY,02NY,"43.132598876953125, -75.65550231933594"
02OH,small_airport,Zimmerman Airport,614,NA,US,US-OH,Fremont,,,02OH,02OH,"41.376399993896484, -83.08329772949219"
02OI,small_airport,Murtha Airport,950,NA,US,US-OH,Conneaut,,,02OI,02OI,"41.801998138427734, -80.56539916992188"
02OL,heliport,War Veterans Colony Heliport,807,NA,US,US-OK,Wilburton,,,02OL,02OL,"34.811412, -95.307727"
02OR,small_airport,Rowena Dell Airport,705,NA,US,US-OR,The Dalles,,,02OR,02OR,"45.68149948120117, -121.31600189208984"
02P,heliport,Stottle Memorial Heliport,591,NA,US,US-PA,Honey Grove,,,26PA,26PA,"40.403596, -77.556602"
02PA,heliport,Lag III Heliport,1070,NA,US,US-PA,Monroeville,,,02PA,02PA,"40.438301, -79.769997"
02PN,heliport,Peco Berwyn Heliport,390,NA,US,US-PA,Berwyn,,,02PN,02PN,"40.06959915161133, -75.4552001953125"
02PR,small_airport,Cuylers Airport,15,NA,PR,PR-U-A,Vega Baja,,,02PR,02PR,"18.464924, -66.363773"
02RI,heliport,Miramar Residence Heliport,36,NA,US,US-RI,Newport,,,02RI,02RI,"41.457931, -71.304886"
02SC,small_airport,Harpers Airport,111,NA,US,US-SC,Estill,,,02SC,02SC,"32.760211, -81.225872"
02T,small_airport,Wise River Airport,5830,NA,US,US-MT,Wise River,,,02T,02T,"45.769100189208984, -112.98200225830078"
02TA,heliport,Matagorda Shore Facility Heliport,5,NA,US,US-TX,Matagorda,,,02TA,02TA,"28.722177, -95.875813"
02TE,heliport,Baylor Medical Center Heliport,560,NA,US,US-TX,Waxahachie,,,02TE,02TE,"32.39540100097656, -96.86419677734375"
02TN,small_airport,Ellis Field,840,NA,US,US-TN,Rockvale,,,02TN,02TN,"35.780355, -86.585521"
02UT,small_airport,Lucin Airport,4412,NA,US,US-UT,Lucin,,,02UT,02UT,"41.369336, -113.841019"
02VA,small_airport,The Greenhouse Airport,320,NA,US,US-VA,Culpeper,,,02VA,02VA,"38.435699462890625, -77.8572006225586"
02VG,heliport,Northstar Aviation Heliport,1850,NA,US,US-VA,Bristol,,,02VG,02VG,"36.63880157470703, -82.11669921875"
02WA,small_airport,Cawleys South Prairie Airport,690,NA,US,US-WA,South Prairie,,,02WA,02WA,"47.15230178833008, -122.09400177001953"
02WI,small_airport,Beer Airport,920,NA,US,US-WI,Hudson,,,02WI,02WI,"45.031898498535156, -92.65579986572266"
02WN,small_airport,Fowler Field,2150,NA,US,US-WA,Tonasket,,,02WN,02WN,"48.74580001831055, -119.31900024414062"
02XA,small_airport,JLS Farms Airport,675,NA,US,US-TX,Honey Grove,,,02XA,02XA,"33.591319, -95.882864"
03AA,heliport,Trapper T Heliport,159,NA,US,US-AK,Palmer,,,03AA,03AA,"61.556055, -149.284527"
03AK,seaplane_base,Joe Clouds Seaplane Base,150,NA,US,US-AK,Kenai,,,03AK,03AK,"60.72722244262695, -151.13278198242188"
03AL,heliport,Highland Medical Center Heliport,628,NA,US,US-AL,Scottsboro,,,03AL,03AL,"34.662604, -86.046774"
03AR,heliport,Hscmh Heliport,350,NA,US,US-AR,Malvern,,,03AR,03AR,"34.357601165771484, -92.78849792480469"
03AZ,small_airport,Thompson International Aviation Airport,4275,NA,US,US-AZ,Hereford,,,03AZ,03AZ,"31.430971, -110.088087"
03CA,heliport,Grossmont Hospital Heliport,634,NA,US,US-CA,La Mesa,,,03CA,03CA,"32.779484, -117.006952"
03FA,small_airport,Lake Persimmon Airstrip,70,NA,US,US-FL,Lake Placid,,,03FA,03FA,"27.353099822998047, -81.40809631347656"
03FL,heliport,Ranger Heliport,20,NA,US,US-FL,West Palm Beach,,,03FL,03FL,"26.683716, -80.186561"
03GA,small_airport,HIA Airport,238,NA,US,US-GA,Statesboro,,,03GA,03GA,"32.561626, -81.85509"
03GE,heliport,NGMC Lumpkin Hospital Heliport,1178,NA,US,US-GA,Dahlonega,,,03GE,03GE,"34.523153, -83.975058"
03ID,small_airport,Flying Y Ranch Airport,3180,NA,US,US-ID,Council,,,03ID,03ID,"44.793965, -116.531543"
03II,small_airport,Davis Field Ultralightport,465,NA,US,US-IN,Mount Vernon,,,03II,03II,"37.9620018005, -87.7789001465"
03IL,small_airport,Wix Airport,750,NA,US,US-IL,Monee,,,03IL,03IL,"41.40230178833008, -87.81670379638672"
03IN,small_airport,Heinzman Airport,850,NA,US,US-IN,Arcadia,,,03IN,03IN,"40.18000030517578, -86.01249694824219"
03IS,heliport,OSF St Anthony's Health Center Heliport,580,NA,US,US-IL,Alton,,,03IS,03IS,"38.904999, -90.173401"
03KS,heliport,Valley Grain Heliport,1160,NA,US,US-KS,Highland,,,03KS,03KS,"39.86470031738281, -95.26409912109375"
03KY,small_airport,Flying H Farms Airport,385,NA,US,US-KY,Henderson,,,03KY,03KY,"37.796085, -87.53859"
03LA,heliport,Damien Heliport,25,NA,US,US-LA,Carville,,,03LA,03LA,"30.199600219726562, -91.12789916992188"
03LS,heliport,Fmc Nr 1 Heliport,79,NA,US,US-LA,Winnsboro,,,03LS,03LS,"32.159000396728516, -91.70800018310547"
03M,seaplane_base,Lakeside Lodge and Marina Seaplane Base,165,NA,US,US-ME,East Winthrop,,,03M,03M,"44.3209, -69.889503"
03MA,small_airport,Hadley Airport,150,NA,US,US-MA,Hadley,,,03MA,03MA,"42.393431, -72.551553"
03MD,heliport,Upper Chesapeake Medical Center Heliport,302,NA,US,US-MD,Bel Air,,,03MD,03MD,"39.518427, -76.346022"
03ME,small_airport,Maple Ridge Airport,556,NA,US,US-ME,Harrison,,,03ME,03ME,"44.084251, -70.626905"
03MI,heliport,Harold Miller Heliport,585,NA,US,US-MI,Bay City,,,03MI,03MI,"43.550899505615234, -83.86219787597656"
03MN,small_airport,Nauerth Land Ranch Airport,1435,NA,US,US-MN,Lakefield,,,03MN,03MN,"43.62519836425781, -95.22470092773438"
03MS,heliport,Vicksburg Medical Center Heliport,110,NA,US,US-MS,Vicksburg,,,03MS,03MS,"32.31880187988281, -90.8832015991211"
03MT,small_airport,Cascade Field,3580,NA,US,US-MT,Cascade,,,3MT7,3MT7,"47.267327, -111.71748"
03MU,small_airport,McDonnell Airport,874,NA,US,US-MO,Archie,,,03MU,03MU,"38.4925, -94.412498"
03N,small_airport,Utirik Airport,4,OC,MH,MH-UTI,Utirik Island,,UTK,03N,03N,"11.222219, 169.851429"
03NC,small_airport,Pilots Ridge Airport,35,NA,US,US-NC,Carolina Beach,,,03NC,03NC,"34.104236, -77.905855"
03ND,small_airport,Olafson Brothers Airport,1045,NA,US,US-ND,Edinburg,,,03ND,03ND,"48.626399993896484, -97.8290023803711"
03NE,small_airport,Hyde Ranch Airport,2430,NA,US,US-NE,Comstock,,,03NE,03NE,"41.5463981628418, -99.3311996459961"
03NH,heliport,Lorden Heliport,400,NA,US,US-NH,Milford,,,03NH,03NH,"42.815399169921875, -71.12439727783203"
03NM,heliport,Miner's Colfax Medical Center Heliport,6600,NA,US,US-NM,Raton,,,03NM,03NM,"36.862377, -104.442853"
03NR,heliport,Johnston Medical Center Heliport,320,NA,US,US-NC,Clayton,,,03NR,03NR,"35.63027, -78.50392"
03NV,small_airport,Llama Ranch Airport,6120,NA,US,US-NV,Ruby Valley,,,03NV,03NV,"40.58440017700195, -115.2979965209961"
03NY,small_airport,Talmage Field,95,NA,US,US-NY,Riverhead,,,03NY,03NY,"40.958308, -72.717326"
03OH,small_airport,Gibbs Field,580,NA,US,US-OH,Fremont,,,03OH,03OH,"41.416933, -83.018339"
03OI,heliport,"Cleveland Clinic, Marymount Hospital Heliport",890,NA,US,US-OH,Garfield Heights,,,03OI,03OI,"41.420312, -81.599552"
03OK,small_airport,Sahoma Lake Airport,890,NA,US,US-OK,Sapulpa,,,03OK,03OK,"36.041259, -96.161517"
03OL,small_airport,Bluebird Airport,1232,NA,US,US-OK,Alex,,,03OL,03OL,"35.012334, -97.702735"
